id1,id2,ratings
i,targ,0.31
expr,hint,0.15
canvas,video,0.42
idx,indx,0.85
idx,ridx,0.42
right,bottom,0.08
count,total,0.81
click,mousedown,0.74
change,keyup,0.35
change,submit,0.33
files,players,0.12
focus,resize,0.13
reset,refresh,0.64
pushStackLiteral,oldSelection,0.05
onAdd,onRemove,0.02
black,colours,0.08
maroon,darkred,0.71
cosφ0,cosφ,0.62
allocate,contextmenu,0.11
response,alert,0.31
filename,fullname,0.18
objects,records,0.64
ln,ilen,0.70
tasks,todos,0.95
images,authors,0.04
editable,dropdown,0.06
sources,adapters,0.38
ReactDOMComponent,ReactTextComponent,0.54
λ0,φ0,0.27
xMin,xMax,0.02
FunctionExpression,FunctionDeclaration,0.29
Lines,CurRange,0.31
foundMap,foundStarMap,0.69
columns,cols,0.96
dm,_queueHooks,0.15
fuchsia,pink,0.73
maxLine,maxLineLength,0.58
ExpressionStatement,FunctionDeclaration,0.32
addCls,removeCls,0.15
object2,overlapOnly,0.06
nameSegment,foundStarMap,0.12
_selection,_sel,0.98
alignCenter,alignMiddle,0.62
alignTop,popupLocationBar,0.10
targetFrame,targetFrameName,0.80
angle,radians,0.53
miny,ymin,0.96
element,dropdown,0.29
equal,eql,0.97
item,entry,0.78
events,rchecked,0.14
image,polyline,0.22
img,thumb,0.65
player,peer,0.45
files,profiles,0.27
reset,clear,0.90
username,userid,0.60
clear,refresh,0.47
disabled,Tracker,0.05
olive,darkred,0.09
selectAnchor,anchorName,0.42
names,filenames,0.66
setInterval,clearInterval,0.09
getRules,foldingRules,0.38
self_msgs,they_effects,0.06
getInstanceProp,setInstanceProp,0.00
emptyText,blankText,0.87
minText,maxText,0.07
maxText,disabledDaysText,0.02
disabledDaysText,disabledDatesText,0.39
keywordMapper,buildinConstants,0.13
VM,invokePartial,0.07
blendMode,currentBlendMode,0.75
touchmove,touchend,0.28
bindBuffer,ARRAY_BUFFER,0.35
traverseContext,mapResult,0.40
_owner,nextElement,0.04
m21,m22,0.13
child,face,0.15
displayMsg,emptyMsg,0.29
pseudoElements,pseudoClasses,0.42
lastName,firstName,0.07
Int16Array,Uint16Array,0.46
startSymbol,endSymbol,0.04
decrypt,ciphertext,0.36
rlocalProtocol,rurl,0.27
hSpace,popupFeatures,0.04
linkTab,alignMiddle,0.11
lockRatio,alignRight,0.05
substr,substring,1.00
columns,menus,0.33
history,$ERROR,0.02
deltaX,deltaY,0.27
MINUTE,SECOND,0.14
onDragStart,onDragEnd,0.12
body,agg,0.09
rows,pages,0.18
store,storage,0.83
angle,theta,0.62
foo,bar,0.52
DATE,MONTH,0.23
components,requests,0.07
modal,calendar,0.11
ids,tasks,0.33
toolbar,preview,0.03
$behaviour,foldingRules,0.20
a01,b01,0.41
material,light,0.07
camera,texture,0.08
user,person,0.89
selected,active,0.78
rows,columns,0.08
files,problems,0.06
frames,markers,0.25
objects,shortcuts,0.11
cx,sx,0.37
tr,td,0.10
foo,trow,0.27
bindBuffer,ELEMENT_ARRAY_BUFFER,0.26
navy,purple,0.23
host,author,0.57
li,span,0.16
orange,pink,0.13
CallExpression,BlockStatement,0.21
g,r,0.42
data,azimuthal,0.21
raw,movie,0.15
me,br,0.13
err,er,0.71
res,resp,0.60
content,newtext,0.34
utils,util,0.81
renderer,screen,0.42
maroon,olive,0.05
olive,pink,0.04
λ0,λ1,0.27
arrayClass,boolClass,0.24
paddingRight,paddingTop,0.05
expect,bp,0.05
items,files,0.62
disabled,visible,0.10
round,sqrt,0.06
teal,lightgrey,0.25
navy,lightblue,0.41
navy,lightgreen,0.12
navy,magenta,0.18
items,records,0.73
hide,blur,0.27
VERSION,geoJson,0.08
Util,isParam,0.10
found,rawFunc,0.05
a01,b11,0.17
gray,silver,0.47
topLevelTarget,topLevelTargetID,0.65
defHeaders,defHeaderName,0.53
get,facets,0.19
equal,cut,0.04
start,begin,0.94
visible,showing,0.83
dataMax,dataMin,0.12
len,ls,0.20
items,ranges,0.25
dispatchIDs,_dispatchIDs,0.83
maroon,lightblue,0.02
remove,focus,0.04
b01,a03,0.15
getAnimation,depot,0.07
translateX,translateY,0.23
mountDepth,updateComponent,0.06
left,bottom,0.12
nodes,filenames,0.22
records,entries,0.87
adjusted_scale,rangy,0.31
PLACEHOLDER,vertexFormat,0.12
vSpace,advisoryTitleInputLabel,0.07
styleSelectLabel,tag_h4,0.28
body,currants,0.12
alpha,rate,0.11
indices,positions,0.70
keyup,deferId,0.12
getBorderWidth,getPadding,0.53
foo,abc,0.58
files,images,0.50
layers,entries,0.27
generalTab,advancedTab,0.39
targetPopup,popupResizable,0.33
start,searches,0.12
a24,a30,0.35
push,configure,0.05
len,ln,0.79
left,top,0.05
lightgreen,lightgrey,0.11
self,that,0.30
y,z,0.43
push,ts,0.11
element,elm,0.87
id,userid,0.76
id,sessionid,0.72
expect,assume,0.68
callback,cb,0.86
container,video,0.21
container,submenu,0.36
children,columns,0.28
items,tiles,0.31
equal,ok,0.32
miny,ypos,0.38
newLength,Group,0.04
colspan,assignTo,0.06
setScrollTop,prefixWith,0.08
getMinutes,getUTCMinutes,0.72
FONTDATA,FONTS,0.58
ReactEmptyComponent,renderToStaticMarkup,0.11
images,streams,0.25
s1,s2,0.36
precondition,prereq,0.81
setAttributeNode,createAttribute,0.37
Connection,Client,0.28
dom__FixedSizeListIterator,_dom_pos,0.27
v2,v3,0.30
trim,separatedList,0.16
minVal,minValue,0.91
btnModify,btnSetValue,0.61
nodeLinkFn,childLinkFn,0.75
setMinutes,setSeconds,0.22
obj1,obj2,0.61
destroy,clear,0.60
panelTitle,panelTitle1,0.88
__dependency1__,__dependency2__,0.46
ace,__ace_shadowed__,0.50
m1,m2,0.54
latitude,longitude,0.01
item,record,0.68
cols,rects,0.17
resetSize,popupFeatures,0.04
parentWindow,scanner,0.07
popupToolbar,popupDependent,0.25
cursor,intercept,0.15
split,shim,0.26
ranges,codes,0.18
prereq,fnExists,0.17
styleSelectLabel,cssClassInputLabel,0.56
ELEMENT_NODE,TEXT_NODE,0.51
rlocalProtocol,rprotocol,0.71
listeners,cbs,0.19
ranges,expressions,0.17
segments,annotations,0.27
onPlay,onPause,0.16
clientY,_keyStr,0.12
oMatchesSelector,msMatchesSelector,0.66
re,destruct,0.02
click,dblclick,0.21
columns,requests,0.12
a11,b12,0.19
pink,brown,0.09
floor,abs,0.14
math,miny,0.02
alignTop,popupToolbar,0.15
oDomRef,structuralType,0.09
dataAndEvents,deepDataAndEvents,0.74
toggle,isLength,0.01
defaults,DomRange,0.13
advice,alternative,0.07
controller,mutator,0.31
files,locations,0.45
click,mouseup,0.43
inputs,resources,0.42
styleSelectLabel,inlineStyleInputLabel,0.56
a12,a13,0.50
abs,sqrt,0.02
cells,segments,0.59
place,written,0.05
on,immediate,0.17
links,associations,0.67
names,sources,0.58
minx,ymax,0.12
cols,domains,0.25
ELEMENT_ARRAY_BUFFER,bufferData,0.53
equals,same,0.83
nextTick,notification,0.13
cfg,conf,0.94
wrapper,scroller,0.38
userA,userB,0.46
columns,datasets,0.19
limit,exponent,0.15
onTouchStart,onTouchMove,0.45
sender,timeEnd,0.06
scaleX,scaleY,0.17
ui,secret,0.07
builtinConstants,buildinConstants,0.63
